(KBytes)\(msec.),<Ave.>,H2D,D2D,D2H,<Med.>,H2D,D2D,D2H
0,,0.0611456,0.00301056,0.0592794,,0.050384,0.003072,0.0512
0,,0.0458288,0.00304128,0.0482919,,0.04184,0.003072,0.045056
0,,0.041953,0.00303104,0.0444621,,0.041488,0.003072,0.044032
0,,0.0424192,0.00306176,0.0457421,,0.041984,0.003072,0.045056
0,,0.0423658,0.00306176,0.0450355,,0.041984,0.003072,0.045056
0,,0.0432106,0.00305152,0.0461312,,0.04208,0.003072,0.045056
0,,0.0436464,0.00303104,0.0451072,,0.042128,0.003072,0.045056
0,,0.0421283,0.00304128,0.0448,,0.041984,0.003072,0.045056
0,,0.0425402,0.003072,0.0448922,,0.042304,0.003072,0.045056
0,,0.0425533,0.003072,0.0449639,,0.0424,0.003072,0.045056
1,,0.0449168,0.00308224,0.0470324,,0.044032,0.003072,0.04608
1,,0.0458794,0.0031232,0.0468582,,0.04576,0.003072,0.047104
2,,0.0475209,0.00314368,0.0479948,,0.047328,0.003072,0.048128
3,,0.0492106,0.00323584,0.0500428,,0.049152,0.003072,0.049152
3,,0.0509229,0.0032768,0.0507801,,0.050496,0.003072,0.050176
4,,0.0526458,0.00316416,0.0509849,,0.052224,0.003072,0.050176
5,,0.0539456,0.00329728,0.0518451,,0.053712,0.003072,0.0512
5,,0.0555187,0.0033792,0.0556851,,0.055296,0.003072,0.053248
6,,0.0634918,0.00335872,0.0642253,,0.06416,0.003072,0.06144
12,,0.0807782,0.00354304,0.0849613,,0.079248,0.003072,0.084992
18,,0.0950275,0.00384,0.101059,,0.094208,0.004096,0.100352
25,,0.123796,0.00410624,0.116439,,0.1264,0.004096,0.115712
31,,0.136365,0.00436224,0.133345,,0.138688,0.004096,0.131072
37,,0.152037,0.00457728,0.148275,,0.153088,0.004096,0.146432
43,,0.164434,0.00483328,0.18178,,0.167184,0.00512,0.161792
50,,0.169572,0.0050176,0.180869,,0.167584,0.00512,0.177152
56,,0.190481,0.00530432,0.198246,,0.19384,0.00512,0.19456
62,,0.207646,0.00675839,0.21972,,0.208896,0.007168,0.217088
64,,0.210623,0.00736256,0.220222,,0.21208,0.007168,0.217088
128,,0.36839,0.0160051,0.371088,,0.368784,0.016384,0.36864
192,,0.55138,0.0249241,0.586301,,0.557056,0.024576,0.58368
256,,0.719129,0.0337203,0.759194,,0.725072,0.033792,0.757248
320,,0.871173,0.042281,0.955791,,0.88064,0.041984,0.96256
384,,0.981524,0.0509644,0.982938,,0.977296,0.0512,0.96768
448,,1.20266,0.0592998,1.08855,,1.2161,0.059392,1.06598
512,,1.5015,0.0680448,1.44231,,1.51602,0.067584,1.45664
576,,1.61479,0.0769126,1.51654,,1.61038,0.0768,1.49094
640,,1.8015,0.0857498,1.59155,,1.79635,0.086016,1.5575
1280,,4.31135,0.172278,3.54457,,4.29518,0.172032,3.48262
1920,,6.42279,0.263342,4.19831,,6.45494,0.260096,4.10675
2560,,8.15754,0.345743,6.15192,,8.16102,0.3456,6.04416
3200,,10.3833,0.432579,8.0181,,10.3965,0.433152,7.88941
3840,,12.6588,0.519619,8.67665,,12.6972,0.51968,8.52122
4480,,14.388,0.606095,10.5415,,14.3903,0.606208,10.3644
5120,,16.4596,0.692705,11.3587,,16.4581,0.692736,11.1437
5760,,19.168,0.78036,12.9999,,19.1707,0.780288,12.7642
6400,,20.5747,0.866417,14.8,,20.6425,0.866304,14.5326
12800,,40.61,1.73396,28.4344,,40.6518,1.73363,27.8692
19200,,61.6469,2.62395,42.1718,,61.6817,2.62451,41.3138
25600,,82.2512,3.50331,55.7147,,82.3297,3.50413,54.6519
32000,,101.938,4.38229,70.4743,,101.974,4.3817,69.1046
38400,,121.891,5.25708,83.8983,,121.96,5.25722,82.2349
44800,,142.007,6.13485,97.4915,,142.09,6.13376,95.6641
51200,,160.952,7.0159,111.581,,161.775,7.00826,109.067
57600,,186.403,7.88942,126.3,,187.038,7.8848,123.755
64000,,200.903,8.7694,140.589,,201.821,8.76288,137.627
128000,,402.12,17.5556,279.115,,402.997,17.5329,273.67
