H2D,,D2D,,D2H,
0.3,,0.006816,,0.583488,
0.148544,,0.006176,,0.238848,
0.14624,,0.006048,,0.248928,
0.144768,,0.006112,,0.235424,
0.145248,,0.00608,,0.236512,
0.144992,,0.006016,,0.237184,
0.145088,,0.006144,,0.23632,
0.126656,,0.006144,,0.238112,
0.145312,,0.00608,,0.236704,
0.143968,,0.006176,,0.235808,
0.145504,,0.006176,,0.235936,
0.144256,,0.006048,,0.238368,
0.1456,,0.00608,,0.257728,
0.146752,,0.006048,,0.236512,
0.144352,,0.006304,,0.236608,
0.145344,,0.00608,,0.235424,
0.126976,,0.006176,,0.312128,
0.128608,,0.006048,,0.236064,
0.254528,,0.006208,,0.587936,
0.151136,,0.006048,,0.344416,
0.135456,,0.006048,,0.250336,
0.128128,,0.006144,,0.237792,
0.129376,,0.006016,,0.245056,
0.127776,,0.006048,,0.244416,
0.146112,,0.006176,,0.245536,
0.146496,,0.006048,,0.236064,
0.145728,,0.006112,,0.235808,
0.236384,,0.006048,,0.590528,
0.144736,,0.006048,,0.236256,
0.146752,,0.006048,,0.23568,
0.147296,,0.00608,,0.237312,
0.144576,,0.006048,,0.2368,
0.146816,,0.006144,,0.237056,
0.145888,,0.006048,,0.237408,
0.167872,,0.00608,,0.283072,
0.146912,,0.00608,,0.235712,
0.235456,,0.006016,,0.590976,
0.178592,,0.006144,,0.28448,
0.146144,,0.006176,,0.237024,
0.145824,,0.006144,,0.236448,
0.145664,,0.00608,,0.236448,
0.132192,,0.00608,,0.237024,
0.296256,,0.006016,,0.569184,
0.132192,,0.006016,,0.241056,
0.250464,,0.006112,,0.5896,
0.145376,,0.006048,,0.235552,
0.146208,,0.006304,,0.246656,
0.146976,,0.006048,,0.23552,
0.144352,,0.006112,,0.237792,
0.146112,,0.006112,,0.236352,
0.146208,,0.006048,,0.237184,
0.23632,,0.00608,,0.57872,
0.145888,,0.006016,,0.23552,
0.14592,,0.006112,,0.236544,
0.145664,,0.006048,,0.23632,
0.146656,,0.006176,,0.236672,
0.127872,,0.006368,,0.238176,
0.147872,,0.006048,,0.331744,
0.146656,,0.006144,,0.33552,
0.12944,,0.006016,,0.247936,
0.130528,,0.006016,,0.239168,
0.236064,,0.006048,,0.591232,
0.145216,,0.006016,,0.237248,
0.146464,,0.006016,,0.236288,
0.168288,,0.00608,,0.284672,
0.147232,,0.006048,,0.23584,
0.14608,,0.006048,,0.236352,
0.145088,,0.006144,,0.234944,
0.14416,,0.00608,,0.235808,
0.145536,,0.006272,,0.23616,
0.144288,,0.006048,,0.235232,
0.143872,,0.006048,,0.237088,
0.25952,,0.006048,,0.567168,
0.256032,,0.006048,,0.58112,
0.145856,,0.006016,,0.236416,
0.236704,,0.006176,,0.603584,
0.146656,,0.006048,,0.241984,
0.144672,,0.00608,,0.236864,
0.144416,,0.006048,,0.243904,
0.160128,,0.006176,,0.235456,
0.144352,,0.006208,,0.245312,
0.146592,,0.00608,,0.24112,
0.143072,,0.006208,,0.241344,
0.14416,,0.006176,,0.236832,
0.14432,,0.006048,,0.249312,
0.144928,,0.006112,,0.237952,
0.146144,,0.006112,,0.236672,
0.13184,,0.006112,,0.241184,
0.12304,,0.006016,,0.236064,
0.123648,,0.006112,,0.237184,
0.130656,,0.006048,,0.246528,
0.129216,,0.006112,,0.250752,
0.253024,,0.006048,,0.586272,
0.172896,,0.00608,,0.242752,
0.24368,,0.00608,,0.593888,
0.131232,,0.00608,,0.236704,
0.129408,,0.00608,,0.237312,
0.133184,,0.00608,,0.236736,
0.144544,,0.006016,,0.243264,
0.129216,,0.006176,,0.235552,
,Ave.
0.157464,,0.00610176,,0.28901,
,Med.
0.145632,,0.00608,,0.237312,
