(KBytes)\(msec.),<Ave.>,H2D,D2D,D2H,<Med.>,H2D,D2D,D2H
0,,0.073296,0.00344064,0.066048,,0.075248,0.003072,0.069632
0,,0.047112,0.00345088,0.0463668,,0.046464,0.003072,0.04608
0,,0.0491562,0.00346112,0.0505652,,0.0464,0.003072,0.04608
0,,0.0470938,0.00338944,0.0462439,,0.044368,0.003072,0.045056
0,,0.0483139,0.00338944,0.0539341,,0.04608,0.003072,0.053248
0,,0.045727,0.0033792,0.0626688,,0.045456,0.003072,0.062464
0,,0.0487341,0.00346112,0.0737485,,0.045808,0.003072,0.07168
0,,0.0463808,0.00346112,0.0475648,,0.044736,0.003072,0.04608
0,,0.0513082,0.00339968,0.0731136,,0.04632,0.003072,0.070656
0,,0.0545456,0.00340992,0.0638976,,0.05344,0.003072,0.062464
0,,0.0541126,0.0033792,0.0501248,,0.053248,0.003072,0.047104
0,,0.05744,0.0034304,0.0722534,,0.055488,0.003072,0.070656
0,,0.0561514,0.00338944,0.0566169,,0.05584,0.003072,0.055296
0,,0.0597213,0.00342016,0.0736461,,0.058368,0.003072,0.070656
0,,0.0616589,0.00340992,0.0601395,,0.059488,0.003072,0.057344
0,,0.0636205,0.0034304,0.0748237,,0.06144,0.003072,0.073728
0,,0.0622992,0.00344064,0.0599655,,0.061456,0.003072,0.059392
0,,0.066824,0.00349184,0.0775782,,0.064688,0.003072,0.074752
0,,0.0671254,0.00329728,0.0633344,,0.065904,0.003072,0.06144
0,,0.0812813,0.00370688,0.081408,,0.080896,0.004096,0.077824
1,,0.0981123,0.00410624,0.100209,,0.096256,0.004096,0.100352
1,,0.121823,0.004352,0.116808,,0.124352,0.004096,0.115712
1,,0.135461,0.00431104,0.133929,,0.138336,0.004096,0.132096
2,,0.145031,0.0046592,0.15102,,0.142336,0.004608,0.147456
2,,0.162182,0.0050176,0.167823,,0.164896,0.00512,0.16384
3,,0.175392,0.00549888,0.181996,,0.177552,0.00512,0.177152
3,,0.193085,0.00649215,0.197427,,0.195168,0.006144,0.19456
3,,0.207298,0.00734208,0.215071,,0.208944,0.007168,0.20992
4,,0.207688,0.00735232,0.221655,,0.20992,0.007168,0.218112
8,,0.365002,0.0161075,0.360499,,0.36672,0.016384,0.36352
12,,0.531415,0.0250777,0.586138,,0.538976,0.024576,0.583168
16,,0.710015,0.0336384,0.748176,,0.712528,0.033792,0.748544
20,,0.88403,0.0422912,0.946985,,0.901136,0.041984,0.954368
24,,1.08698,0.0508313,1.13529,,1.09659,0.0512,1.14381
28,,1.23996,0.0595354,1.26949,,1.24802,0.059392,1.28307
32,,1.47257,0.0681984,1.38691,,1.48224,0.068608,1.40032
36,,1.68074,0.0770253,1.52956,,1.6976,0.0768,1.52474
40,,1.91456,0.085248,1.67997,,1.92963,0.084992,1.65478
80,,4.14228,0.172278,2.93728,,4.17547,0.172032,2.89075
120,,6.23414,0.262656,4.2216,,6.28229,0.259072,4.10675
160,,8.26327,0.345539,5.74153,,8.31259,0.345088,5.64326
200,,10.2444,0.433213,7.19071,,10.2813,0.432128,7.04307
240,,12.5869,0.519014,8.38511,,12.6633,0.519168,8.19814
280,,14.82,0.605921,10.2541,,15.0642,0.606208,10.0239
320,,16.7036,0.692941,11.2022,,16.7696,0.6912,10.9599
360,,16.4872,0.779243,13.4642,,16.4415,0.779264,13.1891
400,,19.7299,0.867605,14.551,,19.7429,0.866304,14.2356
800,,39.8587,1.73514,28.9577,,39.8423,1.73261,28.3848
1200,,66.645,2.60325,55.081,,66.5253,2.60301,54.1496
1600,,93.4693,3.47691,61.3994,,94.0309,3.47341,60.2317
2000,,102.505,4.34627,70.209,,102.983,4.34278,68.8082
2400,,126.144,5.21627,94.5171,,126.328,5.21216,92.8594
2800,,146.161,6.084,100.949,,146.603,6.08154,99.0566
3200,,167.036,6.95436,127.237,,167.212,6.95091,125.006
3600,,188.693,7.82507,133.468,,189.323,7.81926,131.089
4000,,205.423,8.69766,142.245,,205.954,8.68864,139.511
8000,,412.994,17.3908,280.453,,414.245,17.3783,275.087
