(KBytes)\(msec.),<Ave.>,H2D,D2D,D2H,<Med.>,H2D,D2D,D2H
0,,0.0533552,0.0030208,0.050391,,0.050176,0.003072,0.047104
1,,0.0482349,0.00301056,0.0472986,,0.048128,0.003072,0.044032
1,,0.0478515,0.0030208,0.0447488,,0.048224,0.003072,0.044032
2,,0.0469722,0.00304128,0.0458036,,0.04816,0.003072,0.044032
2,,0.0482009,0.00306176,0.0445645,,0.0484,0.003072,0.045056
3,,0.047937,0.00305152,0.0450458,,0.048608,0.003072,0.045056
3,,0.0489738,0.00300032,0.0448717,,0.0488,0.003072,0.045056
4,,0.0485357,0.00300032,0.0447898,,0.049152,0.003072,0.045056
4,,0.043583,0.00303104,0.0448103,,0.042304,0.003072,0.045056
5,,0.0425757,0.00305152,0.0447693,,0.042384,0.003072,0.045056
10,,0.0443203,0.00306176,0.0458241,,0.044112,0.003072,0.04608
15,,0.0459427,0.0031232,0.0481689,,0.045728,0.003072,0.047104
20,,0.0475814,0.0031232,0.0479641,,0.047296,0.003072,0.048128
25,,0.0497885,0.00321536,0.0486707,,0.049152,0.003072,0.048128
30,,0.0514115,0.0032768,0.0498278,,0.05072,0.003072,0.049152
35,,0.052409,0.00326656,0.0508723,,0.052336,0.003072,0.050176
40,,0.0537859,0.00320512,0.0519372,,0.05368,0.003072,0.0512
45,,0.0555347,0.0032256,0.0573849,,0.055344,0.003072,0.059392
50,,0.0578278,0.00334848,0.0606004,,0.0568,0.003072,0.060416
100,,0.0763034,0.00354304,0.0828519,,0.078848,0.003072,0.083968
150,,0.0955945,0.0037888,0.100864,,0.094208,0.004096,0.100352
200,,0.123592,0.00405504,0.116296,,0.126064,0.004096,0.115712
250,,0.137689,0.00432128,0.132444,,0.139264,0.004096,0.131072
300,,0.151584,0.00458752,0.147814,,0.153056,0.004096,0.146432
350,,0.162944,0.0047616,0.164198,,0.166512,0.00512,0.161792
400,,0.173221,0.00498688,0.180204,,0.17448,0.00512,0.177152
450,,0.191948,0.00543744,0.197581,,0.194144,0.00512,0.19456
500,,0.207221,0.00666623,0.218307,,0.208896,0.006656,0.217088
512,,0.210726,0.007168,0.220242,,0.211968,0.007168,0.217088
1024,,0.368347,0.0159642,0.367422,,0.368672,0.016384,0.367616
1536,,0.530418,0.0249856,0.573256,,0.529904,0.024576,0.56832
2048,,0.717596,0.033536,0.757565,,0.724992,0.033792,0.753664
2560,,0.887819,0.0420045,0.918067,,0.894976,0.041984,0.918528
3072,,1.08109,0.0507494,1.10803,,1.10091,0.0512,1.11821
3584,,1.20291,0.059351,1.32007,,1.19178,0.059392,1.33734
4096,,1.50261,0.068096,1.44533,,1.52126,0.067584,1.45818
4608,,1.65647,0.0767488,1.56202,,1.64536,0.0768,1.57133
5120,,1.83372,0.0857293,1.57327,,1.82102,0.086016,1.49043
10240,,3.60379,0.172349,2.85354,,3.51645,0.172032,2.80371
15360,,6.14095,0.260976,4.38343,,6.16387,0.259072,4.30746
20480,,8.31978,0.349143,5.7808,,8.35024,0.349184,5.66989
25600,,10.3338,0.436849,7.26323,,10.3769,0.436736,7.05638
30720,,12.5387,0.523745,8.59714,,12.5728,0.524288,8.42957
35840,,14.3485,0.611021,9.99122,,14.377,0.611328,9.80224
40960,,16.403,0.699422,11.3493,,16.5369,0.699392,11.1375
46080,,18.3506,0.785459,12.7369,,18.3763,0.785408,12.502
51200,,20.8764,0.872725,14.1206,,20.8758,0.872448,13.8644
102400,,40.7238,1.74679,28.1987,,40.7417,1.74694,27.6628
153600,,62.0354,2.62007,42.9481,,62.1824,2.62144,42.1325
204800,,80.906,3.49433,55.7344,,80.992,3.49389,54.6862
256000,,101.759,4.36882,69.6152,,101.892,4.36838,68.3197
307200,,123.439,5.2406,83.4911,,123.514,5.24083,81.8319
358400,,143.173,6.11341,97.06,,143.283,6.1143,95.0211
409600,,162.141,6.98644,110.85,,162.28,6.9847,108.689
460800,,181.086,7.86539,125.613,,181.774,7.86022,123.026
512000,,203.879,8.74358,140.079,,204.408,8.73574,137.099
1024000,,412.43,17.4769,278.689,,413.118,17.4664,273.094
