(KBytes)\(msec.),<Ave.>,H2D,D2D,D2H,<Med.>,H2D,D2D,D2H
0,,0.0586845,0.0032256,0.0556134,,0.051696,0.003072,0.052224
0,,0.0503315,0.00328704,0.0469607,,0.050176,0.003072,0.045056
0,,0.0505549,0.0032256,0.0534323,,0.050544,0.003072,0.053248
0,,0.0496771,0.00328704,0.0453632,,0.049792,0.003072,0.045056
0,,0.0510729,0.00324608,0.0539238,,0.050768,0.003072,0.053248
0,,0.0513158,0.00316416,0.0452403,,0.050368,0.003072,0.045056
0,,0.0507625,0.00323584,0.054272,,0.050768,0.003072,0.054272
0,,0.0494937,0.00326656,0.046592,,0.049568,0.003072,0.045056
0,,0.0519542,0.00324608,0.0539136,,0.050768,0.003072,0.054272
0,,0.0504877,0.00323584,0.0453735,,0.050448,0.003072,0.045056
0,,0.0521331,0.00323584,0.0466637,,0.051936,0.003072,0.04608
0,,0.0538333,0.00319488,0.0474316,,0.053792,0.003072,0.047104
0,,0.05472,0.00324608,0.0491827,,0.054704,0.003072,0.048128
0,,0.0579869,0.00323584,0.0539955,,0.057344,0.003072,0.055296
0,,0.0583152,0.0031744,0.0571494,,0.0584,0.003072,0.057344
0,,0.0614004,0.00340992,0.058194,,0.060416,0.003072,0.058368
0,,0.0608486,0.00335872,0.0596992,,0.060928,0.003072,0.058368
0,,0.0643107,0.00333824,0.0602215,,0.063488,0.003072,0.060416
0,,0.0655488,0.00335872,0.0610816,,0.064832,0.003072,0.06144
1,,0.0805782,0.00371712,0.0778752,,0.079392,0.004096,0.0768
2,,0.0941785,0.00387072,0.0954061,,0.094688,0.004096,0.093184
3,,0.120821,0.00418816,0.109599,,0.121984,0.004096,0.108544
3,,0.13845,0.00428032,0.133028,,0.140304,0.004096,0.132096
4,,0.14125,0.00468992,0.147948,,0.139328,0.00512,0.146432
5,,0.160729,0.00473088,0.166707,,0.157744,0.00512,0.162816
6,,0.178057,0.00521216,0.180695,,0.179808,0.00512,0.177152
7,,0.194706,0.00580608,0.198779,,0.196144,0.006144,0.19456
7,,0.208194,0.00723968,0.220703,,0.209472,0.007168,0.218112
8,,0.211445,0.00731136,0.220457,,0.212064,0.007168,0.218112
16,,0.368491,0.0159539,0.369254,,0.369104,0.016384,0.367616
24,,0.543799,0.0249241,0.59179,,0.549232,0.024576,0.5888
32,,0.71912,0.033536,0.756736,,0.726016,0.033792,0.755712
40,,0.890893,0.0423834,0.965776,,0.919264,0.041984,0.964608
48,,1.09714,0.0507904,1.16307,,1.11749,0.0512,1.1689
56,,1.28645,0.0594842,1.30404,,1.31397,0.059392,1.31174
64,,1.49074,0.0681165,1.44625,,1.50864,0.068608,1.45613
72,,1.6981,0.0766873,1.5441,,1.71989,0.0768,1.56058
80,,1.94237,0.0857702,1.54524,,1.9724,0.086016,1.51142
160,,4.24527,0.172349,2.87181,,4.24776,0.172032,2.79859
240,,6.32323,0.264468,4.20234,,6.34947,0.266752,4.11443
320,,8.48328,0.345436,5.63403,,8.50694,0.345088,5.51936
400,,10.0502,0.432425,7.25065,,10.0315,0.432128,7.10861
480,,12.6292,0.519096,8.36631,,12.6506,0.519168,8.19251
560,,13.6002,0.606341,11.2331,,13.5922,0.606208,11.0141
640,,14.857,0.692746,12.3224,,14.8468,0.693248,12.0929
720,,16.4007,0.779561,13.4278,,16.3831,0.780288,13.1717
800,,18.9269,0.865854,14.4682,,18.8732,0.86528,14.1875
1600,,47.3079,1.73411,30.6459,,47.3704,1.73261,30.0841
2400,,63.2062,2.6019,46.8784,,63.2255,2.60301,46.0488
3200,,83.5418,3.47473,63.5302,,83.5841,3.47443,62.5034
4000,,103.363,4.3433,69.9225,,103.515,4.34278,68.5312
4800,,124.953,5.21236,86.2292,,125.314,5.21216,84.5978
5600,,144.061,6.08206,101.733,,144.241,6.08154,99.7919
6400,,168.891,6.95212,117.554,,169.645,6.95091,115.217
7200,,186.209,7.83097,133.958,,186.712,7.81824,131.479
8000,,204.68,8.69283,141.263,,205.239,8.68966,138.496
16000,,406.384,17.3873,281.387,,407.051,17.3701,275.916
