H2D,,D2D,,D2H,
24.7359,,1.12173,,52.016,
27.2271,,1.12432,,53.4034,
26.9628,,1.1216,,52.1665,
26.9733,,1.12176,,52.4622,
26.0354,,1.12205,,53.5641,
26.3427,,1.12102,,52.3401,
26.1843,,1.12429,,52.4645,
26.4213,,1.1239,,52.4621,
26.0604,,1.11837,,53.1244,
25.2161,,1.11821,,53.8104,
26.0763,,1.11779,,52.1972,
25.8771,,1.11866,,52.2167,
26.0363,,1.1209,,53.5145,
26.9787,,1.12096,,62.2518,
26.2106,,1.12368,,53.9712,
24.015,,1.11805,,51.7441,
26.4982,,1.11866,,51.5462,
26.4167,,1.11971,,51.4065,
26.2808,,1.11792,,51.2006,
26.3369,,1.11798,,51.3389,
26.4706,,1.11965,,51.3996,
26.4432,,1.11981,,51.2438,
26.811,,1.1183,,51.336,
26.8938,,1.12051,,51.3032,
26.5084,,1.12061,,51.4264,
26.4295,,1.11773,,51.402,
26.6463,,1.11786,,51.958,
26.2479,,1.1209,,51.5273,
26.2783,,1.12336,,51.4778,
26.4767,,1.12224,,51.5246,
26.2553,,1.11946,,51.6924,
26.4102,,1.12195,,51.3631,
25.7666,,1.11811,,51.7627,
26.811,,1.12058,,51.4271,
26.317,,1.11779,,51.227,
26.6463,,1.11834,,51.2468,
26.4796,,1.11862,,51.3594,
26.3084,,1.12,,51.378,
26.3381,,1.11821,,51.4347,
26.565,,1.12045,,51.4752,
26.4005,,1.11802,,51.2754,
26.3731,,1.1201,,51.491,
26.221,,1.11856,,51.6546,
26.4311,,1.11994,,51.5708,
26.706,,1.12202,,51.3552,
26.9962,,1.12304,,51.5639,
26.9272,,1.11805,,51.5091,
27.0579,,1.12454,,51.8036,
26.4252,,1.12026,,51.2597,
26.4555,,1.11856,,51.5072,
26.3192,,1.12394,,51.4558,
26.3593,,1.12202,,51.6195,
26.3576,,1.12422,,51.2328,
26.2234,,1.12522,,51.2353,
25.817,,1.12211,,51.5272,
26.2961,,1.12141,,51.1989,
26.0404,,1.1215,,51.1066,
26.2399,,1.12214,,51.5459,
26.8188,,1.12221,,51.2874,
26.7032,,1.12371,,51.1465,
26.6418,,1.12422,,51.6476,
27.0124,,1.12269,,51.2377,
26.6732,,1.12438,,51.4141,
26.6686,,1.12192,,51.2385,
26.46,,1.12221,,51.5369,
26.6037,,1.11744,,51.336,
26.2853,,1.12515,,51.5529,
24.634,,1.11808,,51.4492,
25.4732,,1.12144,,51.2227,
26.351,,1.12342,,51.3678,
26.874,,1.12362,,51.4996,
27.1667,,1.12227,,51.594,
26.8303,,1.12262,,51.7004,
26.6959,,1.1225,,51.4899,
26.4446,,1.12179,,51.3468,
26.2887,,1.12163,,51.2878,
26.3769,,1.1239,,51.4116,
23.8596,,1.12205,,51.3905,
26.4419,,1.12189,,51.4103,
26.483,,1.12355,,51.4406,
26.551,,1.1241,,51.4215,
26.6819,,1.12163,,51.6168,
26.8775,,1.12205,,51.2798,
26.4976,,1.1225,,51.7638,
26.4334,,1.11888,,51.1295,
25.5227,,1.12406,,51.5042,
26.3346,,1.12208,,51.5702,
26.6199,,1.1247,,51.2404,
25.917,,1.12442,,51.6001,
26.2711,,1.12182,,51.4825,
26.3192,,1.12365,,51.1168,
26.75,,1.12182,,51.5217,
27.0013,,1.12125,,51.6188,
26.9146,,1.12218,,51.3734,
26.792,,1.12419,,51.4841,
26.6354,,1.12141,,51.153,
26.4436,,1.12195,,51.3981,
26.54,,1.12026,,51.569,
26.4136,,1.12086,,51.8347,
26.626,,1.1199,,51.4931,
,Ave.
26.3756,,1.12128,,51.7426,
,Med.
26.4323,,1.12168,,51.4833,
