(KBytes)\(msec.),<Ave.>,H2D,D2D,D2H,<Med.>,H2D,D2D,D2H
0,,0.0506269,0.00305152,0.0483328,,0.049152,0.003072,0.045056
0,,0.0454103,0.0031232,0.0456807,,0.042048,0.003072,0.044032
0,,0.0446659,0.00308224,0.0459776,,0.041984,0.003072,0.044032
0,,0.045504,0.00305152,0.0480256,,0.041984,0.003072,0.045056
0,,0.0445846,0.00301056,0.0470631,,0.041984,0.003072,0.045056
0,,0.0458637,0.00306176,0.045568,,0.042016,0.003072,0.045056
0,,0.0449123,0.00306176,0.0487015,,0.042288,0.003072,0.045056
0,,0.043536,0.00306176,0.0474829,,0.042192,0.003072,0.045056
0,,0.0447485,0.00306176,0.0478106,,0.043008,0.003072,0.045056
0,,0.0439488,0.00306176,0.0462439,,0.042592,0.003072,0.045056
0,,0.0464128,0.00315392,0.0480359,,0.044032,0.003072,0.04608
0,,0.0474336,0.00313344,0.0488858,,0.04608,0.003072,0.047104
1,,0.0499126,0.00316416,0.0524288,,0.047488,0.003072,0.048128
1,,0.0543302,0.00325632,0.0521728,,0.050912,0.003072,0.049664
1,,0.0595245,0.00336896,0.0586957,,0.058032,0.003072,0.057344
2,,0.0606147,0.00324608,0.0593511,,0.059808,0.003072,0.058368
2,,0.0616608,0.00330752,0.0589517,,0.06144,0.003072,0.059392
2,,0.0650602,0.003328,0.0618189,,0.062704,0.003072,0.060416
3,,0.0645392,0.00330752,0.062976,,0.064512,0.003072,0.06144
6,,0.0818442,0.00372736,0.0817971,,0.079296,0.004096,0.077824
9,,0.0950154,0.00382976,0.100188,,0.093904,0.004096,0.099328
12,,0.116819,0.00408576,0.117514,,0.120832,0.004096,0.115712
15,,0.132756,0.0044032,0.132403,,0.136272,0.004096,0.131072
18,,0.148934,0.004608,0.149391,,0.150528,0.004096,0.146432
21,,0.156246,0.00484352,0.164516,,0.152368,0.00512,0.160768
25,,0.170279,0.00510976,0.182702,,0.165584,0.00512,0.177152
28,,0.188821,0.00565248,0.199178,,0.19152,0.00512,0.19456
31,,0.204501,0.00666624,0.216597,,0.20528,0.007168,0.20992
32,,0.207276,0.00736256,0.218337,,0.20992,0.007168,0.217088
64,,0.366348,0.0160563,0.360253,,0.367808,0.016384,0.36352
96,,0.541807,0.0251187,0.579338,,0.555888,0.0256,0.576
128,,0.706838,0.0336179,0.733164,,0.716352,0.033792,0.744448
160,,0.85921,0.0421683,0.938844,,0.870784,0.041984,0.945152
192,,1.01787,0.050903,1.13889,,1.01888,0.0512,1.14586
224,,1.18865,0.0593408,1.1093,,1.19626,0.059392,1.07725
256,,1.48815,0.0682291,1.39389,,1.49979,0.068608,1.40544
288,,1.57041,0.0777728,1.40633,,1.54424,0.0768,1.37318
320,,1.91821,0.0856269,1.57004,,1.92734,0.086016,1.50682
640,,3.76066,0.172063,3.09018,,3.75269,0.172032,3.02592
960,,6.19413,0.25942,4.2078,,6.23627,0.259072,4.10317
1280,,8.95009,0.345324,6.87878,,8.90624,0.345088,6.73485
1600,,11.4745,0.432271,7.51736,,11.557,0.432128,7.35334
1920,,12.5161,0.519096,8.39379,,12.7839,0.519168,8.24166
2240,,15.2736,0.605829,11.457,,15.2977,0.606208,11.2645
2560,,16.84,0.693125,12.1623,,16.8843,0.693248,11.9465
2880,,18.7562,0.780995,12.9269,,18.8345,0.780288,12.6817
3200,,21.0495,0.86696,15.9549,,21.0516,0.86528,15.6851
6400,,40.9548,1.73493,29.5795,,41.123,1.73158,28.9884
9600,,62.9996,2.60432,43.4507,,63.4647,2.60506,42.5129
12800,,80.6871,3.47704,56.9371,,81.0126,3.47341,55.8234
16000,,101.427,4.34627,70.6724,,102.005,4.34381,69.207
19200,,121.665,5.26986,84.3359,,122.357,5.26234,82.5441
22400,,141.4,6.14819,97.9963,,141.736,6.13888,95.9401
25600,,160.998,7.01956,111.493,,161.385,7.0144,109.105
28800,,185.042,7.89449,126.828,,185.246,7.89094,124.353
32000,,204.973,8.769,140.643,,205.292,8.77005,137.869
64000,,413.022,17.5349,279.098,,413.272,17.5288,273.753
