H2D,,D2D,,D2H,
25.806,,1.12147,,52.8284,
25.9126,,1.1217,,51.8773,
26.1694,,1.12346,,51.8788,
25.4602,,1.12451,,53.018,
26.2187,,1.12166,,52.173,
26.4677,,1.12406,,52.3515,
26.5146,,1.12227,,52.4794,
24.4443,,1.12227,,53.1758,
25.483,,1.124,,52.3779,
26.3828,,1.12208,,52.3368,
24.1163,,1.1215,,52.5036,
25.2413,,1.1239,,51.1948,
26.3864,,1.12381,,51.3389,
26.2046,,1.12285,,51.1109,
24.5135,,1.12314,,51.7201,
26.9635,,1.12509,,51.3607,
23.7537,,1.12096,,51.3665,
26.9627,,1.12208,,51.2455,
26.8626,,1.12202,,51.3208,
27.0047,,1.12189,,51.6,
27.1383,,1.12202,,51.2864,
26.6367,,1.1223,,51.284,
26.2317,,1.12464,,51.2643,
26.3235,,1.12211,,51.574,
26.6614,,1.12125,,51.4465,
26.4386,,1.12208,,51.6028,
26.1727,,1.12189,,51.4761,
26.4289,,1.12474,,51.089,
26.1045,,1.12272,,51.5679,
26.5989,,1.12157,,51.1971,
25.1574,,1.12128,,51.4304,
26.5088,,1.12435,,51.4892,
24.998,,1.20355,,51.6227,
27.2199,,1.12106,,51.5924,
26.5656,,1.12323,,51.2633,
26.3808,,1.12419,,51.5505,
26.0344,,1.12445,,51.5863,
26.5263,,1.12205,,51.5897,
26.5324,,1.1247,,51.3219,
26.3889,,1.12486,,51.4752,
26.4568,,1.12259,,51.4176,
25.5557,,1.12378,,51.5348,
26.7624,,1.12147,,51.6106,
26.4855,,1.12157,,51.5594,
26.7695,,1.12448,,51.4827,
26.927,,1.12742,,51.4878,
27.0462,,1.12451,,51.1732,
26.8645,,1.12294,,51.9742,
26.9381,,1.12374,,51.249,
25.4422,,1.12285,,51.2656,
26.6863,,1.12138,,51.7988,
26.2855,,1.12176,,51.4668,
26.211,,1.12502,,51.4171,
26.3774,,1.12403,,51.3076,
26.4137,,1.12189,,51.6076,
26.4497,,1.1225,,51.3818,
26.4833,,1.12435,,51.0021,
26.4013,,1.12186,,51.2552,
26.5389,,1.12189,,51.5719,
26.1878,,1.1223,,51.0877,
27.236,,1.12237,,51.0739,
26.618,,1.12221,,51.8282,
26.7418,,1.12189,,51.1847,
26.9028,,1.12445,,51.4239,
26.598,,1.124,,51.3854,
26.4893,,1.12186,,51.5817,
26.6449,,1.12141,,51.7172,
26.5308,,1.12246,,51.3069,
25.8867,,1.12246,,51.9444,
26.5652,,1.12182,,51.5688,
26.617,,1.12099,,51.3671,
26.2622,,1.1239,,51.2113,
26.5839,,1.12419,,51.1564,
26.4882,,1.12221,,51.5398,
26.6327,,1.12198,,51.413,
26.4916,,1.12141,,51.276,
26.6217,,1.12413,,51.3804,
26.133,,1.12435,,51.1903,
26.813,,1.12534,,51.6904,
26.6255,,1.21539,,51.3318,
26.9221,,1.12205,,51.5265,
26.909,,1.12266,,51.2774,
26.8761,,1.12195,,51.1574,
26.7251,,1.12419,,51.7039,
27.0231,,1.12234,,51.264,
26.7968,,1.12266,,51.7123,
26.7513,,1.12198,,51.7327,
26.3988,,1.12432,,51.9877,
26.5004,,1.1217,,51.27,
26.5383,,1.12403,,51.6678,
26.378,,1.12362,,51.2804,
25.1928,,1.12272,,51.4535,
26.6215,,1.12186,,51.4624,
26.5834,,1.12214,,51.4948,
26.9134,,1.12186,,51.3208,
26.0161,,1.12192,,51.3823,
27.0522,,1.12163,,51.2233,
26.3884,,1.12365,,51.2587,
27.2684,,1.12448,,51.3958,
27.0577,,1.12186,,51.3916,
,Ave.
26.376,,1.12459,,51.5416,
,Med.
26.5046,,1.12242,,51.45,
