(KBytes)\(msec.),<Ave.>,H2D,D2D,D2H,<Med.>,H2D,D2D,D2H
0,,0.051504,0.0030208,0.0487629,,0.048448,0.003072,0.045056
0,,0.0502637,0.00304128,0.0463156,,0.048368,0.003072,0.044032
0,,0.0495555,0.00305152,0.0462541,,0.048288,0.003072,0.044032
0,,0.0501981,0.00305152,0.0458957,,0.048608,0.003072,0.045056
0,,0.0497885,0.00303104,0.0477389,,0.048688,0.003072,0.045056
0,,0.0516409,0.0030208,0.0475546,,0.049152,0.003072,0.045056
0,,0.0499168,0.00306176,0.0481383,,0.049152,0.003072,0.045056
1,,0.0495542,0.0030208,0.0458035,,0.049264,0.003072,0.045056
1,,0.0501661,0.00306176,0.0461005,,0.049344,0.003072,0.045056
1,,0.0510173,0.00303104,0.0481997,,0.049584,0.003072,0.045056
2,,0.0509024,0.00310272,0.0467354,,0.050816,0.003072,0.04608
3,,0.0499456,0.00315392,0.0474214,,0.045792,0.003072,0.047104
5,,0.0564845,0.00316416,0.0529817,,0.05432,0.003072,0.055296
6,,0.0594291,0.00325632,0.056832,,0.05632,0.003072,0.05632
7,,0.0581968,0.00321536,0.060631,,0.057888,0.003072,0.057344
8,,0.0589287,0.00329728,0.0611533,,0.059392,0.003072,0.058368
10,,0.0647958,0.00319488,0.0627507,,0.06112,0.003072,0.059392
11,,0.0626281,0.00336896,0.0609895,,0.062688,0.003072,0.059392
12,,0.064673,0.00329728,0.0646554,,0.064512,0.003072,0.06144
25,,0.0795267,0.00354304,0.0819712,,0.07912,0.003072,0.077824
37,,0.0955261,0.00381952,0.0998195,,0.094208,0.004096,0.100352
50,,0.117539,0.0040448,0.11818,,0.121136,0.004096,0.115712
62,,0.134291,0.004352,0.132209,,0.135888,0.004096,0.131072
75,,0.148,0.00464896,0.148419,,0.14984,0.004608,0.146432
87,,0.159682,0.00482304,0.167178,,0.161456,0.00512,0.161792
100,,0.176076,0.00507904,0.181146,,0.177488,0.00512,0.177152
112,,0.191805,0.00538624,0.198646,,0.191088,0.00512,0.19456
125,,0.204226,0.00673792,0.215511,,0.205472,0.007168,0.20992
128,,0.2101,0.007424,0.221102,,0.21352,0.007168,0.217088
256,,0.3691,0.0160768,0.362537,,0.370224,0.016384,0.364544
384,,0.51736,0.0249958,0.507279,,0.518432,0.024576,0.498688
512,,0.710812,0.033536,0.742769,,0.719104,0.033792,0.750592
640,,0.848549,0.0421786,0.858747,,0.84288,0.041984,0.845312
768,,0.981443,0.0508006,0.981422,,0.978384,0.0512,0.966656
896,,1.1991,0.0596378,1.0947,,1.20643,0.059392,1.07008
1024,,1.46958,0.068311,1.39437,,1.48304,0.068608,1.41619
1152,,1.88681,0.0768819,1.74508,,1.86814,0.0768,1.71315
1280,,2.01625,0.0856064,1.80627,,2.00418,0.086016,1.77357
2560,,4.12125,0.172247,3.08194,,4.11773,0.172032,3.02899
3840,,6.34981,0.260014,4.35337,,6.38011,0.259072,4.27213
5120,,8.12121,0.345119,5.74969,,8.19008,0.345088,5.64275
6400,,10.2317,0.432302,7.46611,,10.2602,0.432128,7.31853
7680,,12.3167,0.519321,8.73577,,12.386,0.519168,8.5719
8960,,14.4473,0.606269,10.001,,14.4906,0.606208,9.80019
10240,,16.2255,0.692951,11.328,,16.2773,0.693248,11.1073
11520,,18.5092,0.780278,13.0832,,18.5945,0.779264,12.8384
12800,,20.1914,0.867687,14.2979,,20.2803,0.866304,14.0319
25600,,41.3098,1.75045,28.3113,,41.4098,1.75002,27.6685
38400,,60.8258,2.62239,42.1903,,61.0307,2.61939,41.3015
51200,,82.3439,3.50347,55.9913,,82.8379,3.50413,54.6022
64000,,102.543,4.38274,69.879,,102.694,4.3817,68.3904
76800,,121.565,5.25759,83.4601,,121.76,5.25619,81.79
89600,,142.134,6.13533,97.6554,,142.333,6.13274,95.7092
102400,,165.572,7.01009,110.915,,165.736,7.0103,108.682
115200,,183.394,7.88678,125.586,,183.564,7.88582,122.977
128000,,202.69,8.76327,138.694,,203.046,8.76339,135.937
256000,,404.755,17.5301,276.894,,404.88,17.5299,271.644
