(KBytes)\(msec.),<Ave.>,H2D,D2D,D2H,<Med.>,H2D,D2D,D2H
1,,0.0436224,0.00326656,0.0539546,,0.043008,0.003072,0.052224
2,,0.0421581,0.00330752,0.054999,,0.038912,0.003072,0.052224
3,,0.0396186,0.0032768,0.0546406,,0.038912,0.003072,0.0512
4,,0.0457216,0.00323584,0.0544973,,0.039936,0.003072,0.052224
5,,0.0419328,0.00321536,0.0545382,,0.039936,0.003072,0.052224
6,,0.0526438,0.00333824,0.0657203,,0.039936,0.003072,0.052224
7,,0.0445543,0.00330752,0.0496743,,0.041984,0.003072,0.04608
8,,0.0407552,0.00325632,0.0471348,,0.039936,0.003072,0.045056
9,,0.0404788,0.00329728,0.0469095,,0.039936,0.003072,0.045056
10,,0.0392602,0.00331776,0.0463156,,0.039936,0.003072,0.045056
20,,0.0444723,0.00319488,0.0487629,,0.038912,0.003072,0.04608
30,,0.0498586,0.00333824,0.0505958,,0.048128,0.003072,0.048128
40,,0.0458752,0.00334848,0.0527155,,0.043008,0.003072,0.048128
50,,0.0474317,0.00333824,0.0527872,,0.045056,0.003072,0.049152
60,,0.0484352,0.00340992,0.0535757,,0.04608,0.003072,0.050176
70,,0.0598665,0.00338944,0.0581939,,0.059232,0.003072,0.057344
80,,0.0637392,0.0034816,0.0633754,,0.06144,0.003072,0.059392
90,,0.0687696,0.00335872,0.0636314,,0.062944,0.003072,0.060416
100,,0.0650851,0.00351232,0.062208,,0.063984,0.003072,0.06144
200,,0.081897,0.00391168,0.0822682,,0.07936,0.004096,0.077824
300,,0.107273,0.00396288,0.109353,,0.10056,0.004096,0.1024
400,,0.132547,0.00425984,0.135178,,0.115328,0.004096,0.115712
500,,0.1392,0.00453632,0.132946,,0.14152,0.004096,0.131072
600,,0.154803,0.00480256,0.149873,,0.155712,0.00512,0.146432
700,,0.165456,0.00507904,0.164352,,0.169984,0.00512,0.161792
800,,0.178949,0.00531456,0.181422,,0.182272,0.00512,0.177152
900,,0.2003,0.00574464,0.228342,,0.183296,0.006144,0.198656
1000,,0.209916,0.00645119,0.228731,,0.21024,0.006144,0.217088
1024,,0.212041,0.00652287,0.222403,,0.214624,0.006144,0.217088
2048,,0.391136,0.0160563,0.386509,,0.372896,0.016384,0.36864
3072,,0.512789,0.0258867,0.606833,,0.503808,0.0256,0.580608
4096,,0.716125,0.0347443,0.746281,,0.726224,0.034816,0.755712
5120,,0.840965,0.0433767,0.952299,,0.843824,0.043008,0.953856
6144,,1.08985,0.0523162,1.09387,,1.10389,0.052224,1.10694
7168,,1.23809,0.0610816,1.31058,,1.20757,0.06144,1.29382
8192,,1.51149,0.0695603,1.41741,,1.52627,0.069632,1.42387
9216,,1.68656,0.0783258,1.56653,,1.69506,0.077824,1.55238
10240,,1.94544,0.0872755,1.67046,,1.96384,0.08704,1.63584
20480,,4.03845,0.174735,2.9629,,4.07342,0.175104,2.91328
30720,,6.10809,0.263096,4.36028,,6.15333,0.262144,4.26189
40960,,8.29215,0.349112,5.73479,,8.3591,0.349184,5.61715
51200,,10.1727,0.437238,7.14123,,10.2364,0.437248,6.99034
61440,,12.3338,0.525271,8.51303,,12.4363,0.524288,8.3369
71680,,14.1695,0.612024,9.90595,,14.2564,0.612352,9.70752
81920,,16.5473,0.699505,11.3963,,16.6513,0.698368,11.1483
92160,,18.6622,0.786278,12.7949,,18.7215,0.786432,12.5261
102400,,20.4387,0.877558,14.1661,,20.4988,0.874496,13.8803
204800,,40.3211,1.75049,28.2661,,40.5248,1.75104,27.669
307200,,61.9446,2.62255,42.2871,,62.2545,2.62042,41.3435
409600,,80.5585,3.51447,56.0385,,80.9742,3.51334,54.9258
512000,,100.511,4.39111,70.0154,,100.867,4.38989,68.5425
614400,,120.699,5.27142,83.8811,,121.217,5.26848,82.0526
716800,,140.768,6.14932,97.75,,141.195,6.14502,95.7553
819200,,160.535,7.03058,111.513,,161.249,7.02362,109.299
921600,,185.535,7.90626,125.719,,185.886,7.90016,123.048
1024000,,201.269,8.78432,139.356,,201.81,8.77773,136.634
2048000,,405.782,17.5673,277.868,,405.614,17.5601,272.324
