H2D,,D2D,,D2H,
0.097344,,0.005056,,0.092192,
0.04976,,0.004864,,0.055552,
0.043232,,0.004864,,0.055296,
0.044064,,0.005152,,0.05488,
0.049824,,0.004896,,0.054848,
0.045088,,0.004832,,0.055296,
0.045984,,0.00512,,0.054912,
0.046048,,0.004928,,0.054784,
0.044,,0.004832,,0.055712,
0.044416,,0.005088,,0.054976,
0.045376,,0.004864,,0.055232,
0.044,,0.004832,,0.055296,
0.044608,,0.004928,,0.055488,
0.044416,,0.00496,,0.055072,
0.04656,,0.004832,,0.055232,
0.045888,,0.004832,,0.055008,
0.044704,,0.004896,,0.05504,
0.045056,,0.004864,,0.055104,
0.044256,,0.004832,,0.055488,
0.045632,,0.004928,,0.055456,
0.050528,,0.004896,,0.055808,
0.09056,,0.004864,,0.0912,
0.09008,,0.004832,,0.090784,
0.04448,,0.004864,,0.0552,
0.046176,,0.004864,,0.055808,
0.048352,,0.004864,,0.054656,
0.04816,,0.004928,,0.059712,
0.044736,,0.004928,,0.05488,
0.046912,,0.004896,,0.055488,
0.048096,,0.004896,,0.055296,
0.044864,,0.004864,,0.055744,
0.096768,,0.004832,,0.091072,
0.049728,,0.004928,,0.05536,
0.04896,,0.004928,,0.055872,
0.048704,,0.004864,,0.05568,
0.049472,,0.004896,,0.055296,
0.04864,,0.00496,,0.056032,
0.048224,,0.004992,,0.05504,
0.046528,,0.00496,,0.056032,
0.048224,,0.004864,,0.055744,
0.092096,,0.004832,,0.091072,
0.049792,,0.004992,,0.055232,
0.04896,,0.004864,,0.056672,
0.049376,,0.004896,,0.055488,
0.047104,,0.004992,,0.05648,
0.04944,,0.004864,,0.055424,
0.049152,,0.00496,,0.056288,
0.047168,,0.004992,,0.055808,
0.050624,,0.004896,,0.056896,
0.049248,,0.004896,,0.056032,
0.049184,,0.005024,,0.056576,
0.049088,,0.00496,,0.056512,
0.08544,,0.004832,,0.05408,
0.064384,,0.00496,,0.056192,
0.0496,,0.004896,,0.057056,
0.049824,,0.004928,,0.056096,
0.049216,,0.004896,,0.057216,
0.091456,,0.004928,,0.092288,
0.089536,,0.004864,,0.092448,
0.09056,,0.004896,,0.09136,
0.047552,,0.004992,,0.057152,
0.054208,,0.004928,,0.056864,
0.051968,,0.004896,,0.05728,
0.051584,,0.004992,,0.05728,
0.04768,,0.004992,,0.056928,
0.048384,,0.005088,,0.05712,
0.051968,,0.005152,,0.057504,
0.048416,,0.00496,,0.057152,
0.05328,,0.005088,,0.057248,
0.049472,,0.004928,,0.056928,
0.053856,,0.004992,,0.057504,
0.052064,,0.005024,,0.057504,
0.053088,,0.005056,,0.05808,
0.048704,,0.005056,,0.057184,
0.050912,,0.004896,,0.058048,
0.051744,,0.00496,,0.056832,
0.052736,,0.005088,,0.05776,
0.051584,,0.004992,,0.056864,
0.066592,,0.00496,,0.057696,
0.052704,,0.005056,,0.057888,
0.049408,,0.00496,,0.058368,
0.052416,,0.004992,,0.058528,
0.050976,,0.004928,,0.064192,
0.05216,,0.005088,,0.058272,
0.051616,,0.00496,,0.058048,
0.052,,0.005024,,0.05792,
0.052608,,0.005152,,0.060352,
0.049216,,0.00496,,0.062816,
0.053024,,0.005088,,0.059136,
0.052544,,0.00496,,0.057248,
0.050848,,0.004928,,0.057856,
0.050944,,0.00496,,0.057344,
0.055968,,0.004928,,0.059104,
0.04736,,0.004992,,0.057664,
0.054304,,0.004896,,0.055936,
0.051072,,0.00496,,0.057184,
0.053344,,0.004896,,0.057888,
0.052384,,0.004992,,0.05728,
0.04928,,0.00496,,0.053248,
0.05216,,0.004928,,0.057184,
,Ave.
0.0532182,,0.00494336,,0.0593917,
,Med.
0.049456,,0.004928,,0.056752,
