H2D,,D2D,,D2H,
0.223584,,0.009088,,0.49296,
0.308096,,0.008768,,0.71424,
0.2192,,0.0088,,0.471456,
0.217568,,0.006944,,0.484192,
0.217984,,0.006912,,0.487776,
0.269696,,0.006848,,0.687008,
0.213888,,0.008736,,0.495552,
0.261472,,0.008832,,0.70048,
0.272992,,0.006848,,0.688896,
0.221632,,0.00688,,0.492,
0.226464,,0.0088,,0.492896,
0.26416,,0.008704,,0.6744,
0.286496,,0.007008,,0.695936,
0.219872,,0.006912,,0.46192,
0.218752,,0.00688,,0.481024,
0.218272,,0.007104,,0.484608,
0.220128,,0.006912,,0.48656,
0.218816,,0.007008,,0.485184,
0.221888,,0.006848,,0.484192,
0.2384,,0.006912,,0.484512,
0.216896,,0.006816,,0.48368,
0.220128,,0.007008,,0.481216,
0.264064,,0.007168,,0.656064,
0.21936,,0.007168,,0.483936,
0.260992,,0.006944,,0.6904,
0.21984,,0.00688,,0.480992,
0.22928,,0.007008,,0.447808,
0.219648,,0.006912,,0.48208,
0.219648,,0.00688,,0.507808,
0.2176,,0.00688,,0.481504,
0.219424,,0.0072,,0.507392,
0.22064,,0.006912,,0.452,
0.226912,,0.006976,,0.510432,
0.218432,,0.006912,,0.481184,
0.22064,,0.007008,,0.510208,
0.226912,,0.006848,,0.480992,
0.219872,,0.006944,,0.508352,
0.21856,,0.007232,,0.482432,
0.216512,,0.006912,,0.48144,
0.226816,,0.006944,,0.481088,
0.216192,,0.006848,,0.455904,
0.220064,,0.008704,,0.496256,
0.22384,,0.00704,,0.459712,
0.221568,,0.006912,,0.493472,
0.219744,,0.00688,,0.483712,
0.218656,,0.006912,,0.48416,
0.21776,,0.00688,,0.479936,
0.220064,,0.006912,,0.487968,
0.217696,,0.00688,,0.482976,
0.419072,,0.00688,,1.10589,
0.224256,,0.007104,,0.488544,
0.233792,,0.006944,,0.457248,
0.22064,,0.006848,,0.50176,
0.215104,,0.006912,,0.490112,
0.231776,,0.006912,,0.486944,
0.2336,,0.013696,,0.443072,
0.233536,,0.007008,,0.486848,
0.232832,,0.006912,,0.49968,
0.212192,,0.006976,,0.493472,
0.233856,,0.006912,,0.4808,
0.21792,,0.006912,,0.446656,
0.223328,,0.006848,,0.48064,
0.213632,,0.006944,,0.495968,
0.24272,,0.007072,,0.590976,
0.21136,,0.00688,,0.482016,
0.220992,,0.006848,,0.47888,
0.220576,,0.006944,,0.477664,
0.226752,,0.006848,,0.481088,
0.208544,,0.006912,,0.476032,
0.224672,,0.006848,,0.496192,
0.23552,,0.006848,,0.4752,
0.224192,,0.006848,,0.437728,
0.206208,,0.00688,,0.473856,
0.202688,,0.006976,,0.464352,
0.207136,,0.006816,,0.433152,
0.200672,,0.006944,,0.482976,
0.214656,,0.006912,,0.473184,
0.21728,,0.006944,,0.492128,
0.216224,,0.006816,,0.487744,
0.216096,,0.006912,,0.470688,
0.215904,,0.007072,,0.47424,
0.21488,,0.006912,,0.471136,
0.220896,,0.006944,,0.470048,
0.214048,,0.006784,,0.469792,
0.198752,,0.006816,,0.469664,
0.21968,,0.006912,,0.439808,
0.207488,,0.00688,,0.465696,
0.2344,,0.006816,,0.480832,
0.200352,,0.006848,,0.472352,
0.220672,,0.007008,,0.474784,
0.214208,,0.006944,,0.462976,
0.217952,,0.00688,,0.46864,
0.21104,,0.00688,,0.468,
0.212544,,0.00688,,0.46992,
0.213664,,0.006816,,0.464352,
0.219424,,0.006976,,0.46752,
0.197632,,0.006848,,0.471776,
0.203008,,0.006816,,0.466432,
0.194816,,0.006944,,0.42304,
0.197824,,0.006944,,0.442112,
,Ave.
0.225081,,0.0071424,,0.501855,
,Med.
0.219664,,0.006912,,0.481472,
