(KBytes)\(msec.),<Ave.>,H2D,D2D,D2H,<Med.>,H2D,D2D,D2H
0,,0.0498285,0.00314368,0.0454349,,0.04928,0.003072,0.045056
0,,0.0495417,0.0031232,0.0470835,,0.049408,0.003072,0.045056
0,,0.0498624,0.00315392,0.0462439,,0.049728,0.003072,0.045056
0,,0.0497712,0.0031232,0.0463258,,0.049152,0.003072,0.045056
0,,0.0509846,0.00315392,0.0474829,,0.049664,0.003072,0.045056
0,,0.0499235,0.00313344,0.0474829,,0.049664,0.003072,0.045056
0,,0.0502515,0.00313344,0.050473,,0.050048,0.003072,0.052224
0,,0.0502365,0.00315392,0.0495002,,0.049712,0.003072,0.0512
0,,0.050841,0.00314368,0.0519373,,0.050336,0.003072,0.052224
0,,0.0502022,0.00311296,0.0530944,,0.050272,0.003072,0.052224
0,,0.0519574,0.0031744,0.0536678,,0.051616,0.003072,0.053248
0,,0.0536051,0.00311296,0.0553267,,0.05352,0.003072,0.054272
0,,0.054865,0.00329728,0.0552243,,0.054768,0.003072,0.055296
0,,0.0583501,0.00328704,0.0563917,,0.056784,0.003072,0.05632
0,,0.0586525,0.00324608,0.057641,,0.058368,0.003072,0.057344
1,,0.0613693,0.00323584,0.0585523,,0.060048,0.003072,0.058368
1,,0.0610365,0.00340992,0.0599962,,0.061136,0.003072,0.059392
1,,0.0631898,0.00333824,0.0606516,,0.063488,0.003072,0.060416
1,,0.0645145,0.00338944,0.0647577,,0.064512,0.003072,0.06144
3,,0.0796231,0.00367616,0.0858726,,0.079424,0.004096,0.084992
4,,0.0947373,0.00386048,0.100833,,0.094256,0.004096,0.100352
6,,0.12406,0.00408576,0.11691,,0.126976,0.004096,0.115712
7,,0.139059,0.00432128,0.132495,,0.139344,0.004096,0.131072
9,,0.149136,0.00459776,0.14846,,0.152704,0.004096,0.146432
10,,0.158402,0.00483328,0.165601,,0.155344,0.00512,0.161792
12,,0.176214,0.00504832,0.180572,,0.179584,0.00512,0.177152
14,,0.194216,0.0054784,0.198113,,0.194992,0.00512,0.19456
15,,0.207336,0.00718848,0.218696,,0.20904,0.007168,0.217088
16,,0.21291,0.0073216,0.22056,,0.212992,0.007168,0.217088
32,,0.369043,0.0159949,0.366858,,0.369664,0.016384,0.36864
48,,0.546014,0.0249856,0.592271,,0.549456,0.024576,0.5888
64,,0.71963,0.0335872,0.757576,,0.726016,0.033792,0.7552
80,,0.867666,0.0421684,0.959949,,0.880992,0.041984,0.960512
96,,1.02559,0.0507494,1.13589,,1.02605,0.0512,1.11565
112,,1.27513,0.0596173,1.30955,,1.31149,0.059392,1.30918
128,,1.50072,0.0681267,1.43598,,1.51589,0.068608,1.44896
144,,1.70603,0.0769843,1.52376,,1.72893,0.0768,1.51501
160,,1.93235,0.085842,1.55128,,1.96792,0.086016,1.51142
320,,4.21017,0.17238,2.93143,,4.21712,0.172032,2.89894
480,,6.33979,0.263332,4.2101,,6.37179,0.260096,4.12006
640,,7.50852,0.345149,6.16435,,7.50086,0.345088,6.04518
800,,9.61435,0.432589,7.24781,,9.58328,0.432128,7.10963
960,,12.6521,0.51925,8.3528,,12.6854,0.519168,8.18483
1120,,16.0208,0.605911,13.3497,,16.0349,0.606208,13.1635
1280,,17.0956,0.692603,13.727,,17.034,0.692224,13.4349
1440,,21.2884,0.779141,14.388,,21.3524,0.778752,14.0534
1600,,23.4102,0.867461,15.3486,,23.6119,0.867328,15.0804
3200,,41.6809,1.73481,31.8942,,41.6899,1.73466,31.3108
4800,,62.6724,2.60188,43.1435,,62.7041,2.60403,42.3772
6400,,82.432,3.47436,58.8865,,82.4938,3.47443,57.7848
8000,,103.181,4.34385,70.1696,,103.232,4.34381,68.8251
9600,,127.059,5.21276,86.138,,127.183,5.21216,84.5338
11200,,143.305,6.08259,97.992,,143.635,6.08051,96.0363
12800,,163.892,6.95162,113.354,,164.082,6.95091,111.177
14400,,185.206,7.81971,128.931,,185.414,7.81722,126.328
16000,,210.535,8.68686,140.363,,210.685,8.68659,137.694
32000,,415.079,17.5359,280.58,,415.164,17.5365,275.089
